SITE,TRANSECT,TRANSECT_ID,lat,lon,SIDE,SP_CODE,PERCENT_COVER,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,COMMON.NAME,SPECIES
Baker North,4,BN_4,42.53502,-70.78151,I,DEVI,20,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker North,4,BN_4,42.53502,-70.78151,I,DIAT,1.25,Algae,Phaeophyta,Brown Algae,NA,Diatom Tube Mat
Baker North,4,BN_4,42.53502,-70.78151,I,EC,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker North,4,BN_4,42.53502,-70.78151,I,HJ,13.75,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker North,4,BN_4,42.53502,-70.78151,I,LIGL,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker North,4,BN_4,42.53502,-70.78151,I,LISP,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,Lithophyllum 
Baker North,4,BN_4,42.53502,-70.78151,I,MYED,1.25,Invertebrate,Molluscs,Bivalves,Blue Mussel,Mytilus edulis
Baker North,4,BN_4,42.53502,-70.78151,I,P,2.5,Substrate,NA,NA,NA,NA
Baker North,4,BN_4,42.53502,-70.78151,I,PHRU,1.25,Algae,Rhodophyta,Erect Red Algae,sea oak,Phycodrys rubens
Baker North,4,BN_4,42.53502,-70.78151,I,POLS,3.75,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker North,4,BN_4,42.53502,-70.78151,I,RAT,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker North,4,BN_4,42.53502,-70.78151,I,SH,2.5,Substrate,NA,NA,NA,NA
Baker North,4,BN_4,42.53502,-70.78151,I,SL,23.75,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker North,4,BN_4,42.53502,-70.78151,I,TRIN,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker North,4,BN_4,42.53502,-70.78151,I,UEC,3.75,Algae,Rhodophyta,Red Algal Crusts,NA,Unidentified Erect Coralline
Baker North,4,BN_4,42.53502,-70.78151,I,URB,5,Algae,Rhodophyta,Erect Red Algae,NA,Unidentified Red Blade
Baker North,4,BN_4,42.53502,-70.78151,O,ATM,3.75,Invertebrate,Arthropods,Crustaceans,NA,Amphipod tube mat
Baker North,4,BN_4,42.53502,-70.78151,O,B,38.75,Substrate,NA,NA,NA,NA
Baker North,4,BN_4,42.53502,-70.78151,O,C,3.75,Substrate,NA,NA,NA,NA
Baker North,4,BN_4,42.53502,-70.78151,O,CHCR,3.75,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker North,4,BN_4,42.53502,-70.78151,O,CLSP,1.25,Invertebrate,Proifera,Sponges,NA,Cliona 
Baker North,4,BN_4,42.53502,-70.78151,O,CO,1.25,Algae,Rhodophyta,Erect Red Algae,coral weed,Corralina officinalis
Baker North,4,BN_4,42.53502,-70.78151,O,DEVI,27.5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker North,4,BN_4,42.53502,-70.78151,O,DIVE,1.25,Invertebrate,Chordates,Tunicates,tunicate,Didemnum vexillum
Baker North,4,BN_4,42.53502,-70.78151,O,EC,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker North,4,BN_4,42.53502,-70.78151,O,HJ,10,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker North,4,BN_4,42.53502,-70.78151,O,LIGL,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
Baker North,4,BN_4,42.53502,-70.78151,O,LIVE,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Lichenopora verrucaria
Baker North,4,BN_4,42.53502,-70.78151,O,MEMA,1.25,Invertebrate,Bryozoans,Bryozoans,sea lace,Membranipora membranacea
Baker North,4,BN_4,42.53502,-70.78151,O,PHRU,1.25,Algae,Rhodophyta,Erect Red Algae,sea oak,Phycodrys rubens
Baker North,4,BN_4,42.53502,-70.78151,O,POLS,2.5,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker North,4,BN_4,42.53502,-70.78151,O,PORO,1.25,Algae,Rhodophyta,Erect Red Algae,goat tang,Polyides rotundus
Baker North,4,BN_4,42.53502,-70.78151,O,PORS,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Porphyra 
Baker North,4,BN_4,42.53502,-70.78151,O,RAT,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker North,4,BN_4,42.53502,-70.78151,O,SH,6.25,Substrate,NA,NA,NA,NA
Baker North,4,BN_4,42.53502,-70.78151,O,SL,31.25,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker North,4,BN_4,42.53502,-70.78151,O,TRIN,2.5,Invertebrate,Bryozoans,Bryozoans,NA,Tricellaria inopinata
Baker North,4,BN_4,42.53502,-70.78151,O,UEC,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Unidentified Erect Coralline
Baker South,3,BS_3,42.53216478,-70.78412228,I, S ,7.5,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,AHPL,2.5,Algae,Rhodophyta,Erect Red Algae,Landlady's wig,Ahnfeltia plicata
Baker South,3,BS_3,42.53216478,-70.78412228,I,B,1.25,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,BM,1.25,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,BOHA,1.25,Algae,Rhodophyta,Erect Red Algae,hooked weed,Bonnemasonia hamifera
Baker South,3,BS_3,42.53216478,-70.78412228,I,BS,10,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,C,11.25,Substrate,NA,NA,NA,NA
Baker South,3,BS_3,42.53216478,-70.78412228,I,CF,3.75,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker South,3,BS_3,42.53216478,-70.78412228,I,CHCR,6.25,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker South,3,BS_3,42.53216478,-70.78412228,I,CRSP,1.25,Algae,Rhodophyta,Erect Red Algae,Banded weed,Ceramium 
Baker South,3,BS_3,42.53216478,-70.78412228,I,CYPU,3.75,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker South,3,BS_3,42.53216478,-70.78412228,I,DEAC,10,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker South,3,BS_3,42.53216478,-70.78412228,I,DEVI,8.75,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker South,3,BS_3,42.53216478,-70.78412228,I,EC,2.5,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker South,3,BS_3,42.53216478,-70.78412228,I,HJ,10,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker South,3,BS_3,42.53216478,-70.78412228,I,LIGL,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Lithothamnion 
